role_variation,count,suggested_canonical,notes
Trustee,799,,
creditors,435,,
debtor,368,,
bankrupt,196,,
creditor,125,,
receiver,125,,
Official Receiver,93,,
secured creditor,60,,
Administrator,59,,
Creditors,57,,
inspectors,52,,
insolvent person,31,,
Licensed Insolvency Trustee,16,,
consumer debtor,16,,
court,16,,
Bankrupt,15,,
Superintendent of Bankruptcy,15,,
Superintendent,11,,
Debtor,9,,
lender,9,,
purchaser,9,,
secured creditors,9,,
trustees,9,,
unsecured creditors,9,,
OSB,8,,
debtors,8,,
landlord,8,,
Creditor,7,,
employees,6,,
receivers,6,,
Inspectors,5,,
O. R.,5,,
Trustees,5,,
borrower,5,,
chairperson,5,,
employer,5,,
inspector,5,,
bankrupts,4,,
client,4,,
court-appointed receiver,4,,
depositor,4,,
farmers,4,,
liquidator,4,,
secured lender,4,,
supplier,4,,
Joint bankrupt,3,,
Receiver,3,,
Registrar,3,,
Secured creditors,3,,
auditor,3,,
debtor company,3,,
fishermen,3,,
interested party,3,,
plaintiff,3,,
preferred creditor,3,,
receiver-manager,3,,
unsecured creditor,3,,
Administrator of a Consumer Proposal,2,,
Administrators,2,,
Court,2,,
Debtors,2,,
Directors,2,,
Insolvency Counsellor,2,,
Inspector,2,,
Interim Receiver,2,,
Liquidator,2,,
Monitor,2,,
Office of the Superintendent of Bankruptcy,2,,
Receiver Manager,2,,
appointing creditor,2,,
aquaculturists,2,,
bankrupt individual,2,,
claimant,2,,
corporation,2,,
employee,2,,
fisherman,2,,
government,2,,
interim receiver,2,,
landlords,2,,
lenders,2,,
lower ranking secured creditors,2,,
officer,2,,
privately appointed receiver,2,,
proven creditor,2,,
receiver and manager,2,,
security holder,2,,
stakeholders,2,,
suppliers,2,,
third party,2,,
,1,,
Administrators of consumer proposals,1,,
Assistant Bankruptcy Analysts,1,,
Bankruptcy Analysts,1,,
Bankrupts,1,,
CAIRP members,1,,
CRA,1,,
CREDITORS,1,,
Chartered Insolvency & Restructuring Professional,1,,
Consumer Debtor,1,,
Court-appointed receivers,1,,
Crown,1,,
Crown Claims,1,,
DEBTOR,1,,
Farmers,1,,
Insolvency Administrator,1,,
Insolvency Administrators,1,,
Insolvent Person,1,,
Interim receiver,1,,
Landlord,1,,
Legal counsel,1,,
Licensed Insolvency Trustees,1,,
O.R.,1,,
OSB-mediator,1,,
Official Receivers,1,,
Quebec Revenue Agency,1,,
Receiver General,1,,
Receivers,1,,
Secured creditor,1,,
Senior Bankruptcy Analysts,1,,
TRUSTEE,1,,
Taxing Master,1,,
Taxing Masters,1,,
Third parties,1,,
Trustee(s),1,,
Trustee/receiver,1,,
Witness,1,,
accountant,1,,
administrator,1,,
agent,1,,
agent for a secured creditor,1,,
agents,1,,
appraiser,1,,
aquaculturalists,1,,
aquaculturist,1,,
auctioneer,1,,
bankrupt consumer debtor,1,,
bankrupt(s),1,,
beneficiaries,1,,
beneficiary,1,,
bidders,1,,
chairman,1,,
co-debtor,1,,
coffee supplier,1,,
commissioner for oaths,1,,
company directors,1,,
counselling services,1,,
court official,1,,
creditor(s),1,,
debtor corporation,1,,
debtor/bankrupt,1,,
director,1,,
directorship,1,,
employers,1,,
every proven creditor,1,,
farmer,1,,
government agencies,1,,
governmental agencies,1,,
individuals,1,,
insolvency administrator,1,,
insolvency administrators,1,,
insolvency practitioner,1,,
insolvency practitioners,1,,
insolvent debtor,1,,
interim receivers,1,,
joint owner,1,,
judgement creditor,1,,
lawyer,1,,
legal counsel,1,,
legal services,1,,
lessor,1,,
licensed administrator of consumer proposals,1,,
liquidators,1,,
management,1,,
mediator,1,,
members,1,,
mortgagee,1,,
mortgagor,1,,
official receiver,1,,
officials,1,,
opposing creditor,1,,
opposing creditors,1,,
ordinary creditors,1,,
ordinary unsecured creditors,1,,
partner,1,,
predecessor,1,,
preferred creditors,1,,
private lender,1,,
private receiver,1,,
privately appointed receivers,1,,
proven creditors,1,,
registered individuals,1,,
seller,1,,
senior lawyers,1,,
shareholder,1,,
shareholders,1,,
solicitor,1,,
staff,1,,
successor employer,1,,
surety,1,,
taxing authority,1,,
trustee,1,,
trustees under a proposal,1,,
unpaid suppliers,1,,
utility companies,1,,
witness,1,,
